name,       target_id,   ra,         dec,         pos_err,      lii,         bii,         bat_redshift,    redshift,    redshift_err,    redshift_type,   redshift_line,   redshift_from,   redshift_ref,       galaxy_redshift
,GRB 060111A,   176818,18 24 49.13,+37 36 14.5,     1.0, 65.42626, 21.09726,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 060111B,   176918,19 05 42.47,+70 22 33.1,     0.3,101.35992, 24.26136,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 060114 ,    20026,13 01 06.38,-04 44 52.8,   120.0,307.48587, 58.03823,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 060115 ,   177408,03 36 08.40,+17 20 43.0,     2.0,169.59622,-30.23088,      3.5328,  3.5328,            ,S            ,A            ,O            ,2009ApJS..185..526F,               ,
,GRB 060116 ,   177533,05 38 46.28,-05 26 13.1,     0.2,209.47125,-18.62898,            ,  6.6000,      0.1500,P            ,             ,O            ,2006GCN..4545....1G,               ,
,GRB 080915B,   324805,14 12 21.12,-11 29 24.0,    48.0,332.52745, 46.67958,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 080725 ,   317888,08 06 47.76,-13 59 09.6,    78.0,234.22757,  9.71047,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 060117 ,   177666,21 51 36.13,-59 58 39.1,     1.5,333.06253,-45.22692,            ,  0.4500,      0.2000,G            ,             ,S            ,2006GCN..4544....1P,0.042          ,
,GRB 060121 ,    20027,09 09 51.93,+45 39 45.4,     0.5,174.55388, 42.79639,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 060123 ,    20028,11 58 47.95,+45 30 49.6,     2.4,149.16105, 68.84036,            ,  1.0990,            ,S            ,E            ,O            ,2006GCN..4622....1B,               ,
,GRB 060124 ,   178750,05 08 25.50,+69 44 26.0,     2.0,141.97536, 17.08991,      2.3000,  2.2970,      0.0010,S            ,A            ,O            ,2010ApJ...720.1513K,               ,
,GRB 060130 ,    20029,15 16 53.76,-36 54 43.2,   120.0,332.72232, 17.40739,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 060202 ,   179968,02 23 22.98,+38 23 03.5,     1.4,142.07837,-21.04499,            ,  0.7830,            ,S            ,             ,O            ,2007ApJ...656.1001B,0.783          ,
,GRB 060203 ,   180151,06 54 03.85,+71 48 38.4,     0.5,143.23043, 25.87326,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 060204A,    20030,15 28 56.04,-39 26 37.7,   150.0,333.25358, 13.98070,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 060204B,   180241,14 07 14.90,+27 40 36.4,        , 39.17504, 73.18153,            ,  3.1000,      1.1000,G            ,             ,O            ,2006GCN..4704....1P,               ,
,GRB 060206 ,   180455,13 31 43.42,+35 03 03.6,        , 78.01776, 78.30140,      4.0559,  4.0480,      0.0002,S            ,E            ,O            ,2010ApJ...720.1513K,               ,
,GRB 060210 ,   180977,03 50 57.37,+27 01 34.4,     0.5,165.17218,-20.76730,      3.9133,  3.9133,            ,S            ,A            ,O            ,2009ApJS..185..526F,               ,
,GRB 060211A,   181126,03 53 32.65,+21 29 19.0,     1.4,169.74336,-24.40177,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 060211B,   181156,05 00 17.16,+14 56 57.8,     1.6,185.96057,-16.45380,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 060213 ,    20031,09 26 24.00,-09 09 00.0,        ,241.72626, 28.51261,            ,  3.5000,      0.3500,G            ,             ,O            ,2006GCN..4769....1P,               ,
,GRB 060218 ,   191157,03 21 39.68,+16 52 01.8,     0.1,166.92575,-32.88048,      0.0334,  0.0334,            ,S            ,E            ,O            ,2006Natur.442.1011P,               ,
,GRB 060219 ,   191512,16 07 21.52,+32 18 58.0,     1.5, 52.19742, 47.51111,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 060223A,   192059,03 40 49.56,-17 07 48.4,     1.0,207.61420,-49.72034,      4.4100,  4.4060,            ,S            ,A            ,O            ,2006GCN..4815....1B,               ,
,GRB 060223B,   192152,16 56 58.08,-30 48 46.8,    42.0,352.45202,  7.61558,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 060306 ,   200638,02 44 22.88,-02 08 54.7,     1.4,175.02920,-53.19030,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 060312 ,   201391,03 03 05.97,+12 50 01.5,     3.5,165.79432,-38.84188,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 060313 ,   201487,04 26 28.40,-10 50 40.1,     0.5,205.92839,-37.05217,            ,  1.7000,            ,P            ,             ,O            ,2006GCN..4877....1S,               ,
,GRB 060319 ,   202035,11 45 33.04,+60 00 38.9,     1.4,137.32471, 55.23808,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 060322 ,   202442,18 16 56.63,-36 42 31.3,     4.1,356.41837, -9.53100,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 060323 ,   202505,11 37 45.25,+49 59 07.3,        ,149.66163, 63.14528,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 060403 ,   203755,18 49 21.59,+08 19 47.3,     2.3, 40.12342,  4.24626,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 060413 ,   205096,19 25 07.85,+13 45 30.1,     1.4, 48.98855, -1.04186,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 081003B,    20086,19 00 06.14,+16 41 29.0,    90.0, 48.80245,  5.66689,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 060418 ,   205851,15 45 42.60,-03 38 20.0,     0.5,  3.61823, 37.92332,      1.4901,  1.4901,      0.0010,S            ,A            ,O            ,2006GCN..5002....1P,1.4901         ,
,GRB 060421 ,   206257,22 54 33.03,+62 43 51.6,     1.6,109.99087,  2.83370,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 060424 ,   206773,00 29 25.80,+36 47 58.7,        ,118.03748,-25.86287,            ,        ,            ,             ,             ,             ,                   ,               ,
